Cohort,Row,PositionIdx,Move,Games,White %,Draw %,Black %,Freq,FEN,Rating,Ply,CohortPair
base,0,1,d5e5,34,47.05882352941176,11.76470588235294,41.17647058823529,0.2281879194630872,rn2kbnr/ppp1pppp/8/3q4/8/5P2/PPPP2PP/RNBQK1NR b KQkq - 0 5,0,9,0-1000
target,1,67,g5e3,81,32.098765432098766,3.7037037037037033,64.19753086419753,0.2764505119453925,r1bqk1nr/ppp1bpp1/2np3p/4p1B1/4P3/3P1N2/PPPQ1PPP/RN2KB1R w KQkq - 0 6,1000,10,0-1000
target,0,67,g5e7,135,47.40740740740741,7.4074074074074066,45.18518518518518,0.4607508532423208,r1bqk1nr/ppp1bpp1/2np3p/4p1B1/4P3/3P1N2/PPPQ1PPP/RN2KB1R w KQkq - 0 6,1000,10,0-1000
base,7,67,d3d4,1,0.0,0.0,100.0,0.00625,r1bqk1nr/ppp1bpp1/2np3p/4p1B1/4P3/3P1N2/PPPQ1PPP/RN2KB1R w KQkq - 0 6,0,10,0-1000
base,6,67,h2h4,1,100.0,0.0,0.0,0.00625,r1bqk1nr/ppp1bpp1/2np3p/4p1B1/4P3/3P1N2/PPPQ1PPP/RN2KB1R w KQkq - 0 6,0,10,0-1000
base,5,67,g5f6,1,0.0,100.0,0.0,0.00625,r1bqk1nr/ppp1bpp1/2np3p/4p1B1/4P3/3P1N2/PPPQ1PPP/RN2KB1R w KQkq - 0 6,0,10,0-1000
base,4,67,g5h6,2,0.0,0.0,100.0,0.0125,r1bqk1nr/ppp1bpp1/2np3p/4p1B1/4P3/3P1N2/PPPQ1PPP/RN2KB1R w KQkq - 0 6,0,10,0-1000
base,3,67,b1c3,3,33.33333333333333,0.0,66.66666666666666,0.01875,r1bqk1nr/ppp1bpp1/2np3p/4p1B1/4P3/3P1N2/PPPQ1PPP/RN2KB1R w KQkq - 0 6,0,10,0-1000
base,2,67,g5e3,32,46.875,3.125,50.0,0.2,r1bqk1nr/ppp1bpp1/2np3p/4p1B1/4P3/3P1N2/PPPQ1PPP/RN2KB1R w KQkq - 0 6,0,10,0-1000
base,1,67,g5e7,59,50.84745762711864,3.389830508474576,45.76271186440678,0.36875,r1bqk1nr/ppp1bpp1/2np3p/4p1B1/4P3/3P1N2/PPPQ1PPP/RN2KB1R w KQkq - 0 6,0,10,0-1000
