Cohort,Row,PuzzleIdx,Move,Games,White %,Draw %,Black %,Freq,FEN,Rating,Ply,CohortPair
target,0,137,f6e4,36,38.88888888888889,0.0,61.11111111111112,0.3302752293577982,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,1000,17,0-1000
base,10,136,b2b3,357,52.94117647058824,4.761904761904762,42.296918767507,0.001294970291858,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,0,6,0-1000
target,11,137,g7g6,1,0.0,0.0,100.0,0.0091743119266055,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,1000,17,0-1000
target,10,137,b7b6,2,50.0,0.0,50.0,0.018348623853211,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,1000,17,0-1000
target,9,137,d8e7,3,33.33333333333333,0.0,66.66666666666666,0.0275229357798165,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,1000,17,0-1000
target,8,137,f6d7,4,50.0,0.0,50.0,0.036697247706422,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,1000,17,0-1000
target,6,137,c8d7,4,50.0,0.0,50.0,0.036697247706422,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,1000,17,0-1000
target,5,137,a7a6,4,75.0,0.0,25.0,0.036697247706422,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,1000,17,0-1000
target,4,137,a7a5,7,28.57142857142857,0.0,71.42857142857143,0.0642201834862385,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,1000,17,0-1000
target,3,137,h7h6,10,50.0,10.0,40.0,0.091743119266055,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,1000,17,0-1000
target,2,137,f6g4,14,21.428571428571427,7.142857142857142,71.42857142857143,0.128440366972477,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,1000,17,0-1000
target,1,137,e6e5,20,40.0,5.0,55.00000000000001,0.1834862385321101,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,1000,17,0-1000
base,7,137,f6d7,1,0.0,0.0,100.0,0.0238095238095238,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,0,17,0-1000
base,6,137,c8d7,2,50.0,0.0,50.0,0.0476190476190476,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,0,17,0-1000
base,5,137,a7a5,4,75.0,0.0,25.0,0.0952380952380952,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,0,17,0-1000
base,4,137,f6g4,5,20.0,0.0,80.0,0.119047619047619,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,0,17,0-1000
target,7,137,f6h5,4,50.0,0.0,50.0,0.036697247706422,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,1000,17,0-1000
base,2,137,f6e4,7,57.14285714285714,0.0,42.85714285714285,0.1666666666666666,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,0,17,0-1000
target,7,136,c4f7,10981,54.876605045077866,2.568072124578818,42.55532283034332,0.0114991156540233,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,1000,6,0-1000
target,11,136,b2b3,809,49.44375772558715,3.0902348578491967,47.46600741656366,0.0008471709829801,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,1000,6,0-1000
target,10,136,a2a3,1058,51.41776937618148,2.6465028355387523,45.93572778827977,0.0011079195302756,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,1000,6,0-1000
target,9,136,b1a3,1136,44.8943661971831,4.225352112676056,50.88028169014085,0.0011895997981031,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,1000,6,0-1000
base,1,137,b7b6,7,42.85714285714285,0.0,57.14285714285714,0.1666666666666666,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,0,17,0-1000
target,8,136,h2h4,1227,54.52322738386308,4.074979625101874,41.401792991035045,0.0012848934439018,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,1000,6,0-1000
base,11,136,f3g1,240,37.5,4.583333333333333,57.91666666666667,0.0008705682634339,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,0,6,0-1000
target,3,136,c2c3,87141,56.7585866584042,3.597617654146728,39.64379568744908,0.0912525669071347,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,1000,6,0-1000
target,5,136,f3g5,47276,23.077248498180893,2.149081986631695,74.77366951518741,0.0495066197668342,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,1000,6,0-1000
target,4,136,e1h1,54723,57.23735906291687,3.3971090766222614,39.36553186046087,0.0573049909785191,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,1000,6,0-1000
target,2,136,d2d3,102231,58.11740078841056,3.5830618892508146,38.29953732233862,0.1070545571829941,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,1000,6,0-1000
target,1,136,f3e5,280716,26.19800795109648,1.990267743911996,71.81172430499151,0.2939610008136611,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,1000,6,0-1000
base,3,137,h7h6,5,100.0,0.0,0.0,0.119047619047619,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,0,17,0-1000
target,0,136,f3d4,333735,54.63856053455586,3.79103180667296,41.57040765877118,0.3494815920950255,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,1000,6,0-1000
target,6,136,b1c3,33910,54.5532291359481,3.730462990268357,41.71630787378354,0.0355099728465468,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,1000,6,0-1000
base,9,135,d5a5,2,100.0,0.0,0.0,0.0134228187919463,rn2kbnr/ppp1pppp/8/3q4/8/5P2/PPPP2PP/RNBQK1NR b KQkq - 0 5,0,9,0-1000
base,0,137,e6e5,11,45.45454545454545,9.090909090909092,45.45454545454545,0.2619047619047619,r1bqr1k1/ppp2ppp/2n1pn2/3p4/3P1B2/P1Q1PN2/1PP2PPP/2KR1B1R b - - 2 9,0,17,0-1000
base,7,135,d5d8,5,40.0,0.0,60.0,0.0335570469798657,rn2kbnr/ppp1pppp/8/3q4/8/5P2/PPPP2PP/RNBQK1NR b KQkq - 0 5,0,9,0-1000
base,7,136,c4f7,2221,51.0130571814498,2.791535344439442,46.19540747411076,0.0080563838045284,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,0,6,0-1000
base,6,136,b1c3,9957,55.036657627799535,3.535201365873255,41.42814100632721,0.0361177008292162,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,0,6,0-1000
base,5,136,e1h1,18454,57.48889129727972,3.305516419204509,39.20559228351577,0.0669394447225426,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,0,6,0-1000
base,4,136,f3g5,23367,28.976762100397995,2.6147986476655114,68.4084392519365,0.0847607025485885,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,0,6,0-1000
base,3,136,c2c3,25878,58.05703686529098,3.6401576628796657,38.30280547182935,0.0938690230047663,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,0,6,0-1000
base,2,136,d2d3,27902,61.44362411296681,3.2470790624328005,35.30929682460039,0.101210815359726,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,0,6,0-1000
base,1,136,f3d4,82503,55.839181605517375,3.901676302679903,40.25914209180272,0.2992687226587154,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,0,6,0-1000
base,0,136,f3e5,83008,34.84603893600617,2.5732459521973787,62.58071511179646,0.3011005433796911,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,0,6,0-1000
base,9,136,b1a3,748,50.53475935828877,2.941176470588235,46.524064171122994,0.0027132710877024,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,0,6,0-1000
target,10,135,c7c6,1,100.0,0.0,0.0,0.0040650406504065,rn2kbnr/ppp1pppp/8/3q4/8/5P2/PPPP2PP/RNBQK1NR b KQkq - 0 5,1000,9,0-1000
target,9,135,d5d8,2,100.0,0.0,0.0,0.008130081300813,rn2kbnr/ppp1pppp/8/3q4/8/5P2/PPPP2PP/RNBQK1NR b KQkq - 0 5,1000,9,0-1000
